name,title,license,formats,num_resources,metadata_modified,url
financijski-izvjestaji-za-razdoblje-od-01-sijecnja-do-31-prosinca-2015,Financijski izvještaji za razdoblje od 01. siječnja do 31. prosinca 2015,Otvorena dozvola (OD),CSV|PDF|XLSX,18,2024-02-06T13:50:39.627494,https://data.zagreb.hr/dataset/financijski-izvjestaji-za-razdoblje-od-01-sijecnja-do-31-prosinca-2015
fond-solidarnosti-popis-sklopljenih-ugovora,Fond solidarnosti - popis sklopljenih ugovora,Otvorena dozvola (OD),XLSX,8,2024-09-19T09:10:16.276442,https://data.zagreb.hr/dataset/fond-solidarnosti-popis-sklopljenih-ugovora
galerije,Galerije grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T08:55:12.922838,https://data.zagreb.hr/dataset/galerije
geoportal-autobusna-stajalista-zet,Geoportal autobusna stajališta ZET,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:38:25.471050,https://data.zagreb.hr/dataset/geoportal-autobusna-stajalista-zet
geoportal-benzinske-postaje,Geoportal benzinske postaje,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2023-12-19T11:41:41.529699,https://data.zagreb.hr/dataset/geoportal-benzinske-postaje
geoportal-besplatna-wifi-mreza,Geoportal besplatna WiFi mreža,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-28T09:37:53.665375,https://data.zagreb.hr/dataset/geoportal-besplatna-wifi-mreza
geoportal-biciklisticke-staze,Geoportal biciklističke staze,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:31:14.116879,https://data.zagreb.hr/dataset/geoportal-biciklisticke-staze
geoportal-centar-za-socijalnu-skrb,Geoportal Hrvatski zavod za socijalni rad,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-10-29T08:40:53.748471,https://data.zagreb.hr/dataset/geoportal-centar-za-socijalnu-skrb
geoportal-crkve-rimokatolicke-zupe,Geoportal Crkve (Rimokatoličke Župe),Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:34:41.383768,https://data.zagreb.hr/dataset/geoportal-crkve-rimokatolicke-zupe
geoportal-djecji-vrtici,Geoportal Dječji vrtići,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-28T09:37:08.522030,https://data.zagreb.hr/dataset/geoportal-djecji-vrtici
