name,title,license,formats,num_resources,metadata_modified,url
lokacije-zelenih-otoka,Lokacije zelenih otoka,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T09:14:49.616024,https://data.zagreb.hr/dataset/lokacije-zelenih-otoka
mjesni-odbori,Mjesni odbori,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-06T13:57:37.335077,https://data.zagreb.hr/dataset/mjesni-odbori
mjesni-odbori-prostorna-jedinica-mjesne-samouprave-za-podrucje-grada-zagreba,Mjesni odbori - prostorna jedinica mjesne samouprave za područje Grada Zagreba,Otvorena dozvola (OD),SHP,1,2025-02-03T13:47:37.570158,https://data.zagreb.hr/dataset/mjesni-odbori-prostorna-jedinica-mjesne-samouprave-za-podrucje-grada-zagreba
muzeji-grada-zagreba-svi,Muzeji Grada Zagreba,Otvorena dozvola (OD),XLSX,1,2025-03-06T11:49:57.833425,https://data.zagreb.hr/dataset/muzeji-grada-zagreba-svi
nadlezne-institucije-socijalne-zastite,Geoportal Nadležne institucije socijalne zaštite,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-10-29T08:09:35.363893,https://data.zagreb.hr/dataset/nadlezne-institucije-socijalne-zastite
naselja-adresna-prostorna-jedinice-za-podrucje-grada-zagreba,Naselja - adresna prostorna jedinice za područje Grada Zagreba,Otvorena dozvola (OD),SHP,1,2025-02-03T13:52:17.067607,https://data.zagreb.hr/dataset/naselja-adresna-prostorna-jedinice-za-podrucje-grada-zagreba
o-d-matrica-putovanja,O/D matrica putovanja,Otvorena dozvola (OD),CSV,1,2024-02-06T13:59:39.951311,https://data.zagreb.hr/dataset/o-d-matrica-putovanja
odgojno-obrazovni-objekti-grada-zagreba,Odgojno - obrazovni objekti Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2024-09-20T07:43:54.115732,https://data.zagreb.hr/dataset/odgojno-obrazovni-objekti-grada-zagreba
osnovne-skole-grad-zagreb,Osnovne škole Grad Zagreb,Otvorena dozvola (OD),XLSX,1,2024-02-06T14:07:22.540903,https://data.zagreb.hr/dataset/osnovne-skole-grad-zagreb
plan-komunalnih-akcija-grada-zagreba,Plan komunalnih akcija Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-06T13:55:08.872951,https://data.zagreb.hr/dataset/plan-komunalnih-akcija-grada-zagreba
planirana-namjena-1971,Planirana namjena 1971,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T14:07:04.393649,https://data.zagreb.hr/dataset/planirana-namjena-1971
planirana-namjena-1986,Planirana namjena 1986,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-06T13:57:27.871609,https://data.zagreb.hr/dataset/planirana-namjena-1986
plavi-ceker,Projekt Plavi ceker,Otvorena dozvola (OD),CSV|XLSX,20,2026-04-02T10:18:29.875506,https://data.zagreb.hr/dataset/plavi-ceker
pocasni-gradani-grada-zagreba,Počasni građani Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2024-12-23T13:15:46.814351,https://data.zagreb.hr/dataset/pocasni-gradani-grada-zagreba
podaci-o-kvaliteti-zraka-u-gradu-zagrebu-dordiceva-2023,Podaci o kvaliteti zraka u Gradu Zagrebu - MP Đorđićeva ulica 2023,Otvorena dozvola (OD),XLSX,8,2024-02-28T09:39:54.337382,https://data.zagreb.hr/dataset/podaci-o-kvaliteti-zraka-u-gradu-zagrebu-dordiceva-2023
podaci-o-kvaliteti-zraka-u-gradu-zagrebu-ksaver-2023,Podaci o kvaliteti zraka u Gradu Zagrebu - MP Ksaverska cesta 2023,Otvorena dozvola (OD),XLSX,8,2024-02-28T09:39:38.868356,https://data.zagreb.hr/dataset/podaci-o-kvaliteti-zraka-u-gradu-zagrebu-ksaver-2023
podaci-o-kvaliteti-zraka-u-gradu-zagrebu-pescenica-2023,Podaci o kvaliteti zraka u Gradu Zagrebu - MP Peščenica 2023,Otvorena dozvola (OD),XLSX,8,2024-02-06T14:04:45.013200,https://data.zagreb.hr/dataset/podaci-o-kvaliteti-zraka-u-gradu-zagrebu-pescenica-2023
podaci-o-kvaliteti-zraka-u-gradu-zagrebu-prilaz-baruna-filipovica-2023,Podaci o kvaliteti zraka u Gradu Zagrebu - MP Prilaz baruna Filipovića 2023,Otvorena dozvola (OD),XLSX,8,2024-02-06T13:56:34.790793,https://data.zagreb.hr/dataset/podaci-o-kvaliteti-zraka-u-gradu-zagrebu-prilaz-baruna-filipovica-2023
podaci-o-kvaliteti-zraka-u-gradu-zagrebu-siget-2023,Podaci o kvaliteti zraka u Gradu Zagrebu - MP Siget 2023,Otvorena dozvola (OD),XLSX,8,2024-02-06T14:04:54.162968,https://data.zagreb.hr/dataset/podaci-o-kvaliteti-zraka-u-gradu-zagrebu-siget-2023
podaci-o-kvaliteti-zraka-u-gradu-zagrebu-susedgrad-2023,Podaci o kvaliteti zraka u Gradu Zagrebu - MP Susedgrad 2023,Otvorena dozvola (OD),XLSX,8,2024-02-06T14:04:32.252209,https://data.zagreb.hr/dataset/podaci-o-kvaliteti-zraka-u-gradu-zagrebu-susedgrad-2023
podaci-o-potrosnji-i-trosku-za-objekte-grada-zagreba,Podaci o potrošnji i trošku za objekte Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,4,2025-02-17T11:23:15.947546,https://data.zagreb.hr/dataset/podaci-o-potrosnji-i-trosku-za-objekte-grada-zagreba
podrucni_odsjeci,Geoportal Područni odsjeci,Otvorena dozvola (OD),GEOJSON,1,2026-08-27T06:35:59.968775,https://data.zagreb.hr/dataset/podrucni_odsjeci
pojilice-sa-pitkom-vodom,Pojilice sa pitkom vodom,Otvorena dozvola (OD),CSV|GEOJSON|SHP|XLSX,4,2024-09-16T12:49:09.080239,https://data.zagreb.hr/dataset/pojilice-sa-pitkom-vodom
policijske-postaje1,Policijske postaje,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:39:39.188895,https://data.zagreb.hr/dataset/policijske-postaje1
polupodzemni_spremnik,Geoportal Polupodzemni spremnik,Otvorena dozvola (OD),GEOJSON,1,2026-08-26T13:09:15.385129,https://data.zagreb.hr/dataset/polupodzemni_spremnik
popis-autoprijevoznika-u-gradu-zagrebu,Popis autoprijevoznika u Gradu Zagrebu,Otvorena dozvola (OD),CSV|XLS,2,2024-02-28T09:12:27.914140,https://data.zagreb.hr/dataset/popis-autoprijevoznika-u-gradu-zagrebu
popis-skupova-podataka-grada-zagreba-asset-lista,Popis skupova podataka Grada Zagreba (Asset lista),Otvorena dozvola (OD),CSV|XLSX,4,2025-02-06T11:08:28.247186,https://data.zagreb.hr/dataset/popis-skupova-podataka-grada-zagreba-asset-lista
potpore-inovatorima-grada-zagreba,Potpore inovatorima Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,4,2024-02-28T09:12:50.499067,https://data.zagreb.hr/dataset/potpore-inovatorima-grada-zagreba
potpore-za-poticanje-razvoja-turizma-u-gradu-zagrebu,Potpore za poticanje razvoja turizma u Gradu Zagrebu,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T09:22:38.078446,https://data.zagreb.hr/dataset/potpore-za-poticanje-razvoja-turizma-u-gradu-zagrebu
povijesne-granice-grada-zagreba,Povijesne granice grada Zagreba,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|KML|SHP,5,2024-02-28T09:24:18.768009,https://data.zagreb.hr/dataset/povijesne-granice-grada-zagreba
prazni-poslovni-prostori,Prazni poslovni prostori,Otvorena dozvola (OD),CSV|XLSX,23,2025-12-30T13:02:34.433371,https://data.zagreb.hr/dataset/prazni-poslovni-prostori
predsjednici-gradskih-cetvrti-grada-zagreba,Predsjednici Gradskih četvrti Grada Zagreba 2021. - 2025.,Otvorena dozvola (OD),CSV|XLSX,2,2025-07-09T08:52:17.715040,https://data.zagreb.hr/dataset/predsjednici-gradskih-cetvrti-grada-zagreba
predsjednici-mjesnih-odbora-grada-zagreba,Predsjednici mjesnih odbora Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2025-04-30T12:09:48.543109,https://data.zagreb.hr/dataset/predsjednici-mjesnih-odbora-grada-zagreba
predsjednici_gradskih_cetvrti_grada_zagreba_2025,Predsjednici Gradskih četvrti Grada Zagreba 2025. -,Otvorena dozvola (OD),CSV|JSON|XML,3,2025-07-09T08:54:41.492141,https://data.zagreb.hr/dataset/predsjednici_gradskih_cetvrti_grada_zagreba_2025
privatni-vjerski-obrti-gz-kontakt-podaci,Privatni i vjerski vrtići te obrti za čuvanje djece Grada Zagreba - kontakt podaci,Otvorena dozvola (OD),CSV|JSON|XML,3,2026-09-02T15:10:05.458695,https://data.zagreb.hr/dataset/privatni-vjerski-obrti-gz-kontakt-podaci
projekti-europske-unije,Projekti Europske Unije u provedbi,Otvorena dozvola (OD),CSV|XLSX,2,2024-03-12T13:13:04.369816,https://data.zagreb.hr/dataset/projekti-europske-unije
prometnice,Zatvaranje prometnica na području Grada Zagreba,Otvorena dozvola (OD),CSV|JSON|XML,3,2026-09-06T09:58:18.609325,https://data.zagreb.hr/dataset/prometnice
proracun,Proračun Grada Zagreba 2022. - 2025.,Otvorena dozvola (OD),CSV|XLSX,24,2026-01-21T11:48:01.684023,https://data.zagreb.hr/dataset/proracun
proracun-grada-zagreba-2026,Proračun Grada Zagreba 2026.,Otvorena dozvola (OD),CSV|XLSX,12,2026-01-21T12:19:36.867269,https://data.zagreb.hr/dataset/proracun-grada-zagreba-2026
prostori-mjesne-samouprave-grada-zagreba,Prostori mjesne samouprave Grada Zagreba,Otvorena dozvola (OD),CSV|JSON|XML,3,2026-09-05T20:18:31.130994,https://data.zagreb.hr/dataset/prostori-mjesne-samouprave-grada-zagreba
provedeni-eu-projekti-u-razdoblju-od-2007-do-2021,Provedeni EU projekti (2007. - 2023.),Otvorena dozvola (OD),CSV|XLSX,2,2024-03-08T11:34:24.577645,https://data.zagreb.hr/dataset/provedeni-eu-projekti-u-razdoblju-od-2007-do-2021
pucke-kuhinje-dodatne-tocke-podjele-obroka,Pučke kuhinje - dodatne točke podjele obroka,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:41:08.267440,https://data.zagreb.hr/dataset/pucke-kuhinje-dodatne-tocke-podjele-obroka
raskrizja-sa-zvucnim-signalizatorima,Raskrižja sa zvučnim signalizatorima,Otvorena dozvola (OD),CSV|XLSX|XSLX,4,2024-03-08T11:04:56.069775,https://data.zagreb.hr/dataset/raskrizja-sa-zvucnim-signalizatorima
raspodjela-sredstava-ms-2023,Raspodjela sredstava mjesne samouprave,Otvorena dozvola (OD),CSV|XLSX,4,2024-03-12T09:49:43.630267,https://data.zagreb.hr/dataset/raspodjela-sredstava-ms-2023
reciklazna-dvorista-grada-zagreba1,Geoportal Reciklažna dvorišta grada Zagreba,Otvorena dozvola (OD),CSV|GDB|GEOJSON|KML|SHP,5,2024-02-28T09:26:32.140811,https://data.zagreb.hr/dataset/reciklazna-dvorista-grada-zagreba1
registar-naziva-ulica-adresna-prostorna-jedinica-za-podrucje-grada-zagreba,Registar naziva ulica - adresna prostorna jedinica za područje Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2025-02-18T11:24:32.237155,https://data.zagreb.hr/dataset/registar-naziva-ulica-adresna-prostorna-jedinica-za-podrucje-grada-zagreba
registar-slobodnih-upisnih-mjesta-u-gradskim-privatnim-i-vjerskim-djecjim-vrticima,Registar slobodnih upisnih mjesta u dječjim vrtićima,Otvorena dozvola (OD),CSV|XLSX,4,2024-09-23T11:29:31.024557,https://data.zagreb.hr/dataset/registar-slobodnih-upisnih-mjesta-u-gradskim-privatnim-i-vjerskim-djecjim-vrticima
registar-sportskih-djelatnosti,Registar sportskih djelatnosti,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-06T14:06:12.906630,https://data.zagreb.hr/dataset/registar-sportskih-djelatnosti
registar-ugovora-o-zakupu-koristenju-poslovnih-prostora,Registar ugovora o zakupu / korištenju poslovnih prostora,Otvorena dozvola (OD),CSV|XLSX,5,2025-12-30T12:37:55.424692,https://data.zagreb.hr/dataset/registar-ugovora-o-zakupu-koristenju-poslovnih-prostora
rezultati-javnih-poziva-za-predlaganje-programa-u-kulturi,Rezultati Javnih poziva za predlaganje programa u kulturi,Otvorena dozvola (OD),CSV|XLSX,6,2024-03-19T13:48:24.383474,https://data.zagreb.hr/dataset/rezultati-javnih-poziva-za-predlaganje-programa-u-kulturi
slobodna-mjesta-u-vrticima-i-obrtima-za-cuvanje-djece-grada-zagreba,Slobodna mjesta u vrtićima i obrtima za čuvanje djece Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,4,2025-01-02T11:43:38.194861,https://data.zagreb.hr/dataset/slobodna-mjesta-u-vrticima-i-obrtima-za-cuvanje-djece-grada-zagreba
srednje-skole-grad-zagreb,Srednje Škole Grad Zagreb,Otvorena dozvola (OD),XLSX,1,2024-02-06T13:56:56.532739,https://data.zagreb.hr/dataset/srednje-skole-grad-zagreb
sredstva-mjesne-samouprave-2001-2023,Sredstva mjesne samouprave 2001-2024.,Otvorena dozvola (OD),CSV|XLSX,2,2024-03-12T09:22:30.353974,https://data.zagreb.hr/dataset/sredstva-mjesne-samouprave-2001-2023
struktura-obrta-grada-zagreba,Struktura obrta Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T09:13:17.356851,https://data.zagreb.hr/dataset/struktura-obrta-grada-zagreba
stvarno-koristenje-povrsina-2020,Stvarno korištenje površina 2020.,Otvorena dozvola (OD),CSV|XLSX,2,2024-09-17T11:14:54.670633,https://data.zagreb.hr/dataset/stvarno-koristenje-povrsina-2020
telekomunikacijski-razvodni-ormarici,Telekomunikacijski razvodni ormarići,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP,4,2024-02-06T14:07:46.912864,https://data.zagreb.hr/dataset/telekomunikacijski-razvodni-ormarici
topografska-osnova-2018-objekti,Topografska osnova 2018. Objekti,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T08:29:14.505477,https://data.zagreb.hr/dataset/topografska-osnova-2018-objekti
topografska-osnova-2018-promet,Topografska osnova 2018. Promet,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T07:30:34.941273,https://data.zagreb.hr/dataset/topografska-osnova-2018-promet
topografska-osnova-2018-vegetacija-i-vrste-zemljista,Topografska osnova 2018. Vegetacija i vrste zemljišta,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T09:47:48.406681,https://data.zagreb.hr/dataset/topografska-osnova-2018-vegetacija-i-vrste-zemljista
topografska-osnova-2018-vode,Topografska osnova 2018. Vode,Otvorena dozvola (OD),CSV|GEOJSON|KML|SHP|XLSX,5,2024-09-16T07:49:57.733261,https://data.zagreb.hr/dataset/topografska-osnova-2018-vode
ugostiteljski-objekti-nekategorizirani-turisticke-agencije-i-vodici,"Ugostiteljski objekti, nekategorizirani, turističke agencije i vodiči",Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T09:13:42.785696,https://data.zagreb.hr/dataset/ugostiteljski-objekti-nekategorizirani-turisticke-agencije-i-vodici
ugovori-o-najmu-stanova-2022,Ugovori o najmu stanova,Otvorena dozvola (OD),CSV|XLSX,5,2025-12-30T12:24:16.374187,https://data.zagreb.hr/dataset/ugovori-o-najmu-stanova-2022
ugovori-o-zakupu-zemljista-2022,Ugovori o zakupu zemljišta,Otvorena dozvola (OD),CSV|XLSX,5,2025-12-30T12:27:39.135995,https://data.zagreb.hr/dataset/ugovori-o-zakupu-zemljista-2022
ukupan-promet-nekretnina,Izvješće o tržištu nekretnina Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,7,2025-12-30T13:06:53.660761,https://data.zagreb.hr/dataset/ukupan-promet-nekretnina
vatrogasne-postaje-dvd,Vatrogasne postaje/DVD,Otvorena dozvola (OD),XLSX,1,2024-04-15T12:54:55.118851,https://data.zagreb.hr/dataset/vatrogasne-postaje-dvd
vgc-i-mo-gz,Vijeća gradskih četvrti i Mjesni odbori grada Zagreba,Otvorena dozvola (OD),XLSX,1,2025-03-07T09:13:06.455412,https://data.zagreb.hr/dataset/vgc-i-mo-gz
zagrebacka-nadbiskupija-teritorijalna-struktura,Zagrebačka nadbiskupija - teritorijalna struktura,Otvorena dozvola (OD),CSV|XLSX,2,2024-02-28T09:15:45.640602,https://data.zagreb.hr/dataset/zagrebacka-nadbiskupija-teritorijalna-struktura
zastupljenost-zena-u-javnim-tijelima-grada-zagreba,Zastupljenost žena u javnim tijelima Grada Zagreba,Otvorena dozvola (OD),CSV|XLSX,6,2025-03-12T08:15:31.292215,https://data.zagreb.hr/dataset/zastupljenost-zena-u-javnim-tijelima-grada-zagreba
zborna-mjesta-civilne-zastite-grada-zagreba,Zborna mjesta civilne zaštite Grada Zagreba,Otvorena dozvola (OD),GEOJSON,1,2025-01-02T12:41:57.312510,https://data.zagreb.hr/dataset/zborna-mjesta-civilne-zastite-grada-zagreba
zeljeznicka-stajalista-hz,Geoportal Željeznička stajališta HŽ,Otvorena dozvola (OD),GEOJSON,1,2026-08-01T06:23:08.498523,https://data.zagreb.hr/dataset/zeljeznicka-stajalista-hz
zg3d-2022-3d-model-gz,ZG3D 2022 3D model Grada Zagreba,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|XLSX,4,2025-05-07T13:57:11.550959,https://data.zagreb.hr/dataset/zg3d-2022-3d-model-gz
zg3d-gradska-cetvrt-brezovica-2022,ZG3D Gradska četvrt Brezovica 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:41:36.586578,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-brezovica-2022
zg3d-gradska-cetvrt-crnomerec-2022,ZG3D Gradska četvrt Črnomerec 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:43:14.425434,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-crnomerec-2022
zg3d-gradska-cetvrt-donja-dubrava-2022,ZG3D Gradska četvrt Donja Dubrava 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:43:57.118031,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-donja-dubrava-2022
zg3d-gradska-cetvrt-donji-grad-2022,ZG3D Gradska četvrt Donji Grad 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:45:43.343293,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-donji-grad-2022
zg3d-gradska-cetvrt-gornja-dubrava-2022,ZG3D Gradska četvrt Gornja Dubrava 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:53:35.645654,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-gornja-dubrava-2022
zg3d-gradska-cetvrt-gornji-grad-2022,ZG3D Gradska četvrt Gornji Grad 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:22:35.531208,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-gornji-grad-2022
zg3d-gradska-cetvrt-maksimir-2022,ZG3D Gradska četvrt Maksimir 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:52:28.779093,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-maksimir-2022
zg3d-gradska-cetvrt-novi-zagreb-istok-2022,ZG3D Gradska četvrt Novi Zagreb istok 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:55:09.917968,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-novi-zagreb-istok-2022
zg3d-gradska-cetvrt-novi-zagreb-zapad-2022,ZG3D Gradska četvrt Novi Zagreb zapad 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:54:14.730096,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-novi-zagreb-zapad-2022
zg3d-gradska-cetvrt-pescenica-zitnjak-2022,ZG3D Gradska četvrt Peščenica Žitnjak 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:53:20.389592,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-pescenica-zitnjak-2022
zg3d-gradska-cetvrt-podsljeme-2022,ZG3D Gradska četvrt Podsljeme 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:52:55.008496,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-podsljeme-2022
zg3d-gradska-cetvrt-podsused-vrapce-2022,ZG3D Gradska četvrt Podsused Vrapče 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:54:54.835617,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-podsused-vrapce-2022
zg3d-gradska-cetvrt-sesvete,ZG3D Gradska četvrt Sesvete 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:52:36.613259,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-sesvete
zg3d-gradska-cetvrt-stenjevec-2022,ZG3D Gradska četvrt Stenjevec 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:51:00.260412,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-stenjevec-2022
zg3d-gradska-cetvrt-tresnjevka-jug-2022,ZG3D Gradska četvrt Trešnjevka jug 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T12:46:08.577882,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-tresnjevka-jug-2022
zg3d-gradska-cetvrt-tresnjevka-sjever-2022,ZG3D Gradska četvrt Trešnjevka sjever 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:54:36.418845,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-tresnjevka-sjever-2022
zg3d-gradska-cetvrt-trnje-2022,ZG3D Gradska četvrt Trnje 2022,Otvorena dozvola (OD),CSV|FGDB|GEOJSON|SHP|XLSX,5,2025-05-07T13:52:53.673986,https://data.zagreb.hr/dataset/zg3d-gradska-cetvrt-trnje-2022
