dataset_naslov,dataset_name,format,resurs,url,zadnja_izmjena
Financijski izvještaji za razdoblje od 01. siječnja do 31. prosinca 2015,financijski-izvjestaji-za-razdoblje-od-01-sijecnja-do-31-prosinca-2015,CSV,"Izvještaj o prihodima i rashodima, primicima i izdacima za razdoblje 1. siječnja do 31. prosinca 2015. godine",https://data.zagreb.hr/dataset/07b39e40-ce18-46a6-a342-93d76ede5762/resource/a5260282-92f1-49c4-92f4-da40115012ff/download/pr-ras-12-2015.csv,2016-11-03
Financijski izvještaji za razdoblje od 01. siječnja do 31. prosinca 2015,financijski-izvjestaji-za-razdoblje-od-01-sijecnja-do-31-prosinca-2015,CSV,Izvještaj o promjenama u vrijednosti i obujmu imovine i obveza za razdoblje 1. siječnja do 31. prosinca 2015. godine,https://data.zagreb.hr/dataset/07b39e40-ce18-46a6-a342-93d76ede5762/resource/06f05c34-954f-4cfa-b66c-a6590f5ad673/download/p-vrio-12-2015.csv,2016-11-03
Financijski izvještaji za razdoblje od 01. siječnja do 31. prosinca 2015,financijski-izvjestaji-za-razdoblje-od-01-sijecnja-do-31-prosinca-2015,CSV,Izvještaj o rashodima prema funkcijskoj klasifikaciji za razdoblje 1. siječnja do 31. prosinca 2015. godine,https://data.zagreb.hr/dataset/07b39e40-ce18-46a6-a342-93d76ede5762/resource/04e283cf-b875-4402-bd08-30d5ca7422ed/download/ras-funkcijski-12-2015.csv,2016-11-03
Financijski izvještaji za razdoblje od 01. siječnja do 31. prosinca 2015,financijski-izvjestaji-za-razdoblje-od-01-sijecnja-do-31-prosinca-2015,CSV,"Izvještaji proračuna, proračunskih i izvanproračunskih korisnika za razdoblje: 1. siječanj 2015. – 31. prosinac 2015.",https://data.zagreb.hr/dataset/07b39e40-ce18-46a6-a342-93d76ede5762/resource/9c1e58bc-f258-4d8a-92ea-18d200d0f056/download/referentna-stranica-12-2015.csv,2016-11-03
Galerije grada Zagreba,galerije,CSV,Galerije grada Zagreba,https://data.zagreb.hr/dataset/9f037f7f-1dc3-47c9-a960-08c293edfc7c/resource/5df44c07-ba5e-43ca-b279-b1fed3f07606/download/galerije-csv.csv,2023-04-04
Geoportal Autobusna stajališta ZET,autobusna-stajalista-zet,GEOJSON,Geoportal Autobusna stajališta ZET,https://data.zagreb.hr/dataset/cc7e45ae-4bad-4a07-bca2-25e82f1e082c/resource/3b12a182-afa3-4b07-833f-17d8bcf80ea9/download/data.geojson,2026-08-01
Geoportal Crkve (Rimokatoličke Župe),geoportal-crkve-rimokatolicke-zupe,CSV,Geoportal Crkve (Rimokatoličke Župe),https://opendata.arcgis.com/api/v3/datasets/97dd39a14cdf4ce38bc3cb8ef484728a_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Crkve (Rimokatoličke Župe),geoportal-crkve-rimokatolicke-zupe,GEOJSON,Geoportal Crkve (Rimokatoličke župe),https://opendata.arcgis.com/api/v3/datasets/97dd39a14cdf4ce38bc3cb8ef484728a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-09
Geoportal Dječji vrtići,geoportal-djecji-vrtici,CSV,Geoportal dječji vrtići,https://opendata.arcgis.com/api/v3/datasets/49bb07d4efc34bd5bacc1d330dc28a07_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Dječji vrtići,geoportal-djecji-vrtici,GEOJSON,Geoportal Dječji vrtići,https://opendata.arcgis.com/api/v3/datasets/49bb07d4efc34bd5bacc1d330dc28a07_0/downloads/data?format=fgdb&spatialRefId=4326&where=1%3D1,2023-01-09
Geoportal Domovi za djecu,geoportal-domovi-za-djecu,CSV,Geoportal Domovi za djecu,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_domovi_za_djecu/FeatureServer/replicafilescache/Geoportal_domovi_za_djecu_-5158763075993229335.csv,2022-06-23
Geoportal Domovi za djecu,geoportal-domovi-za-djecu,GEOJSON,Geoportal Domovi za djecu,https://data.zagreb.hr/dataset/65e1cb89-9cc7-43d2-a94d-3305e2917224/resource/e0f7e07d-73e1-4c9e-a81b-30369204b201/download/data.geojson,2025-05-20
Geoportal Domovi za starije osobe,geoportal-domovi-za-starije-osobe,CSV,Geoportal Domovi za starije osobe,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_domovi_za_starije_osobe/FeatureServer/replicafilescache/Geoportal_domovi_za_starije_osobe_103415600451895179.csv,2022-06-23
Geoportal Domovi za starije osobe,geoportal-domovi-za-starije-osobe,GEOJSON,Geoportal Domovi za starije osobe,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_domovi_za_starije_osobe/FeatureServer/replicafilescache/Geoportal_domovi_za_starije_osobe_8327597670917525104.geojson,2023-01-10
Geoportal Domovi zdravlja,geoportal-domovi-zdravlja,CSV,Geoportal domovi zdravlja,https://opendata.arcgis.com/api/v3/datasets/ddc03fc26c6145e7a4a84b35a41d68d1_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-06-23
Geoportal Domovi zdravlja,geoportal-domovi-zdravlja,GEOJSON,Geoportal Domovi zdravlja,https://opendata.arcgis.com/api/v3/datasets/ddc03fc26c6145e7a4a84b35a41d68d1_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2023-01-10
Geoportal Građevinsko zemljište 1959. i 1984.,geoportal-gradevinsko-zemljiste-1959-i-1984,CSV,Geoportal Građevinsko zemljište 1959. i 1984.,https://hub.arcgis.com/api/v3/datasets/b15df4c31858488ea945652df127d098_0/downloads/data?format=csv&spatialRefId=3765&where=1%3D1,2024-09-17
Geoportal Građevinsko zemljište 1959. i 1984.,geoportal-gradevinsko-zemljiste-1959-i-1984,GEOJSON,Geoportal Građevinsko zemljište 1959. i 1984.,https://hub.arcgis.com/api/v3/datasets/b15df4c31858488ea945652df127d098_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2024-09-17
Geoportal Hrvatski zavod za socijalni rad,geoportal-centar-za-socijalnu-skrb,CSV,Geoportal Hrvatski zavod za socijalni rad,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_centar_za_socijalnu_skrb/FeatureServer/replicafilescache/Geoportal_centar_za_socijalnu_skrb_-6545527151026531756.csv,2022-06-23
