dataset_naslov,dataset_name,format,resurs,url,zadnja_izmjena
Geoportal Sportski objekti,geoportal-sportski-objekti,GEOJSON,Geoportal Sportski objekti,https://opendata.arcgis.com/api/v3/datasets/c2dd015f24f84bdb9e367b7eafce6762_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-01
Geoportal Srednje škole,geoportal-srednje-skole,CSV,Geoportal Srednje škole,https://data.zagreb.hr/dataset/b421d6cc-3b3e-4aa2-ad71-28a97dad9b06/resource/306f506a-9e79-4084-b226-bc6dd79a79a9/download/geoportalsrednjeskole-2.csv,2022-12-08
Geoportal Srednje škole,geoportal-srednje-skole,GEOJSON,Geoportal Srednje škole,https://opendata.arcgis.com/api/v3/datasets/1095aeca947440bda0317834daa48c6a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-07
Geoportal Studentska naselja,geoportal-studentska-naselja,CSV,Geoportal Studentska naselja ,https://opendata.arcgis.com/api/v3/datasets/f4e333057dd24bdaa1cb033680dc1b96_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Studentska naselja,geoportal-studentska-naselja,GEOJSON,Geoportal Studentska naselja ,https://opendata.arcgis.com/api/v3/datasets/f4e333057dd24bdaa1cb033680dc1b96_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Studentski restoran,geoportal-studentski-restoran,GEOJSON,Geoportal Studentski restoran,https://data.zagreb.hr/dataset/8b4ab584-5b5a-4d70-9cf3-24897645ad6b/resource/e1caf1d1-ecdf-4d5c-8020-6798c45a188d/download/data.geojson,2026-07-30
Geoportal Studentsko naselje,geoportal-studentsko-naselje,GEOJSON,Geoportal Studentsko naselje,https://data.zagreb.hr/dataset/cd0afdae-2ef7-44f8-96bb-b96f119aa59b/resource/306ebc37-e4ee-4715-b9e1-8f67418e36e7/download/data.geojson,2026-07-30
Geoportal Sustav javnih bicikala,geoportal-sustav-javnih-bicikala,CSV,Geoportal Sustava javnih bicikala,https://opendata.arcgis.com/api/v3/datasets/95f8892f77eb45968b65469b9063f8b9_3/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Sustav javnih bicikala,geoportal-sustav-javnih-bicikala,GEOJSON,Geoportal Sustava javnih bicikala,https://opendata.arcgis.com/api/v3/datasets/95f8892f77eb45968b65469b9063f8b9_3/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Tijela državne uprave,geoportal-tijela-drzavne-uprave,CSV,Geoportal Tijela državne uprave,https://opendata.arcgis.com/api/v3/datasets/5c237e0b5c84441e80a4c46ffcb30522_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Tijela državne uprave,geoportal-tijela-drzavne-uprave,GEOJSON,Geoportal Tijela državne uprave,https://opendata.arcgis.com/api/v3/datasets/5c237e0b5c84441e80a4c46ffcb30522_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Tramvajska stajališta ZET,geoportal-tramvajska-stajalista-zet,CSV,Geoportal Tramvajska stajališta ZET,https://opendata.arcgis.com/api/v3/datasets/8f84d42e684141eaa7ceb26d9c9b8f5a_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Tramvajska stajališta ZET,geoportal-tramvajska-stajalista-zet,GEOJSON,Geoportal Tramvajska stajališta ZET,https://opendata.arcgis.com/api/v3/datasets/8f84d42e684141eaa7ceb26d9c9b8f5a_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Urbanistički planovi uređenja,geoportal-urbanisticki-planovi-uredenja,CSV,Geoportal Urbanistički planovi uređenja,https://opendata.arcgis.com/api/v3/datasets/0481df43ca0641a78212c814c22dcbe1_0/downloads/data?format=csv&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Urbanistički planovi uređenja,geoportal-urbanisticki-planovi-uredenja,GEOJSON,Geoportal Urbanistički planovi uređenja,https://opendata.arcgis.com/api/v3/datasets/0481df43ca0641a78212c814c22dcbe1_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,2022-12-08
Geoportal Ustanove za beskućnike,geoportal-ustanove-za-beskucnike,CSV,Geoportal Ustanove za beskućnike,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_ustanova_za_beskucnike/FeatureServer/replicafilescache/Geoportal_ustanova_za_beskucnike_-2793398836189102661.csv,2022-12-08
Geoportal Ustanove za beskućnike,geoportal-ustanove-za-beskucnike,GEOJSON,Geoportal Ustanove za beskućnike,https://services8.arcgis.com/Usi0jGQwMmBUpFjr/arcgis/rest/services/Geoportal_ustanova_za_beskucnike/FeatureServer/replicafilescache/Geoportal_ustanova_za_beskucnike_-235981892016937521.geojson,2022-12-08
